title,author_for_reference,pdf_url,page_no,domain_url,pattern_cleaned_url,github_user_cleaned_url,date,year,eprints_repo
Genome-wide association study reveals new insights into the heritability and genetic correlates of developmental dyslexia,Alessandro Gialluisi,https://publications.aston.ac.uk/id/eprint/42022/1/s41380_020_00898_x.pdf,9,https://github.com/bulik/ldsc,github.com/bulik/ldsc,bulik/ldsc,2021-07-01,2021.0,publications.aston.ac.uk
A Graph Neural Network to Model Disruption in Human-aware Robot Navigation,Pilar Bachiller,https://publications.aston.ac.uk/id/eprint/42778/1/Bachiller2021_Article_AGraphNeuralNetworkToModelDisr.pdf,15,https://github.com/gnns4hri/sngnnv2.,github.com/gnns4hri/sngnnv,gnns4hri/sngnnv2,2021-06-19,2021.0,publications.aston.ac.uk
A framework for integrating gesture generation models into interactive conversational agents,Rajmund Nagy,https://publications.aston.ac.uk/id/eprint/43079/1/2102.12302.pdf,1,https://github.com/mozilla/TTS,github.com/mozilla/TTS,mozilla/TTS,2021-05-03,2021.0,publications.aston.ac.uk
An efficient combined deep neural network based malware detection framework in 5G environment,Ning Lu,https://publications.aston.ac.uk/id/eprint/43891/1/cas_dc_accepted.pdf,11,https://github.com/androguard/androguard.,github.com/androguard/androguard,androguard/androguard,2021-04-22,2021.0,publications.aston.ac.uk
Online Social Endorsement and Covid-19 Vaccine Hesitancy in the United Kingdom,Andrew Chadwick,https://publications.aston.ac.uk/id/eprint/42480/1/10.1177_20563051211008817.pdf,14,https://github.com/CSSEGISandData/COVID-19,github.com/CSSEGISandData/COVID-,CSSEGISandData/COVID-19,2021-04-05,2021.0,publications.aston.ac.uk
Complex-Valued Neural Network Design for Mitigation of Signal Distortions in Optical Links,Pedro J. Freire,https://publications.aston.ac.uk/id/eprint/42159/1/09280329.pdf,9,https://github.com/pedrofreiree/Complex-NN-based-,github.com/pedrofreiree/Complex-NN-based-,pedrofreiree/Complex-NN-based-on-NLSE,2021-03-15,2021.0,publications.aston.ac.uk
Geospatial User Feedback: how to raise users’ voice and collectively build knowledge at the same time,Alaitz Zabala,https://publications.aston.ac.uk/id/eprint/42360/1/ijgi-10-00141.pdf,11,https://github.com/ec-nextgeoss/nextgeoss-integration-guide-um,github.com/ec-nextgeoss/nextgeoss-integration-guide-um,ec-nextgeoss/nextgeoss-integration-guide-um,2021-03-05,2021.0,publications.aston.ac.uk
Geospatial User Feedback: how to raise users’ voice and collectively build knowledge at the same time,Alaitz Zabala,https://publications.aston.ac.uk/id/eprint/42360/1/ijgi-10-00141.pdf,15,https://github.com/grumets/nimmbus/tree/master/GUF_integration,github.com/grumets/nimmbus,grumets/nimmbus,2021-03-05,2021.0,publications.aston.ac.uk
Geospatial User Feedback: how to raise users’ voice and collectively build knowledge at the same time,Alaitz Zabala,https://publications.aston.ac.uk/id/eprint/42360/1/ijgi-10-00141.pdf,17,https://github.com/dewitt/opensearch/blob/master/opensearch-1-1-draft-6.md,github.com/dewitt/opensearch,dewitt/opensearch,2021-03-05,2021.0,publications.aston.ac.uk
Low-NO atmospheric oxidation pathways in a polluted megacity,Mike J. Newland,https://publications.aston.ac.uk/id/eprint/42343/1/acp_21_1613_2021.pdf,8,https://github.com/geoschem/geos-chem,github.com/geoschem/geos-chem,geoschem/geos-chem,2021-02-08,2021.0,publications.aston.ac.uk
A Socially Interactive Multimodal Human-Robot Interaction Framework through Studies on Machine and Deep Learning,Jordan James Bird,https://publications.aston.ac.uk/id/eprint/43472/1/BIRD_JORDAN_JAMES_2021.pdf,172,https://github.com/jordan-bird/eeg-feature-generation/,github.com/jordan-bird/eeg-feature-generation,jordan-bird/eeg-feature-generation,2021-02-01,2021.0,publications.aston.ac.uk
A Socially Interactive Multimodal Human-Robot Interaction Framework through Studies on Machine and Deep Learning,Jordan James Bird,https://publications.aston.ac.uk/id/eprint/43472/1/BIRD_JORDAN_JAMES_2021.pdf,218,https://github.com/jordan-bird/Unity-Image-Dataset-,github.com/jordan-bird/Unity-Image-Dataset-,jordan-bird/Unity-Image-Dataset-Collector,2021-02-01,2021.0,publications.aston.ac.uk
An Efficient Industrial System for Vehicle Tyre (Tire) Detection and Text Recognition Using Deep Learning,Wajahat Kazmi,https://publications.aston.ac.uk/id/eprint/41147/1/08968735.pdf,4,https://github.com/quantombone/exemplarsvm/tree/,github.com/quantombone/exemplarsvm,quantombone/exemplarsvm,2021-02-01,2021.0,publications.aston.ac.uk
An Efficient Industrial System for Vehicle Tyre (Tire) Detection and Text Recognition Using Deep Learning,Wajahat Kazmi,https://publications.aston.ac.uk/id/eprint/41147/1/08968735.pdf,4,https://github.com/pdollar/edges,github.com/pdollar/edges,pdollar/edges,2021-02-01,2021.0,publications.aston.ac.uk
Unsupervised detection of security threats in cyberphysical system and IoT devices based on power fingerprints and RBM autoencoders,Abdurhman Albasir,https://publications.aston.ac.uk/id/eprint/42749/1/Unsupervised_detection_of_security_threats_in_cyberphysical_system_and_IoT_devices.pdf,24,https://github.com/NewEraCracker/LOIC,github.com/NewEraCracker/LOIC,NewEraCracker/LOIC,2021-01-15,2021.0,publications.aston.ac.uk
FSS-2019-nCov:A deep learning architecture for semi-supervised few-shot segmentation of COVID-19 infection,Mohamed Abdel-Basset,https://publications.aston.ac.uk/id/eprint/43897/1/21_10_2020_FSS_2019_nCOV_VC_clean.pdf,8,https://github.com/xmengli999/H-DenseUNet,github.com/xmengli999/H-DenseUNet,xmengli999/H-DenseUNet,2021-01-05,2021.0,publications.aston.ac.uk
FSS-2019-nCov:A deep learning architecture for semi-supervised few-shot segmentation of COVID-19 infection,Mohamed Abdel-Basset,https://publications.aston.ac.uk/id/eprint/43897/1/21_10_2020_FSS_2019_nCOV_VC_clean.pdf,8,https://github.com/MrGiovanni/UNetPlusPlus,github.com/MrGiovanni/UNetPlusPlus,MrGiovanni/UNetPlusPlus,2021-01-05,2021.0,publications.aston.ac.uk
FSS-2019-nCov:A deep learning architecture for semi-supervised few-shot segmentation of COVID-19 infection,Mohamed Abdel-Basset,https://publications.aston.ac.uk/id/eprint/43897/1/21_10_2020_FSS_2019_nCOV_VC_clean.pdf,8,https://github.com/alexgkendall/caffe-segnet,github.com/alexgkendall/caffe-segnet,alexgkendall/caffe-segnet,2021-01-05,2021.0,publications.aston.ac.uk
FSS-2019-nCov:A deep learning architecture for semi-supervised few-shot segmentation of COVID-19 infection,Mohamed Abdel-Basset,https://publications.aston.ac.uk/id/eprint/43897/1/21_10_2020_FSS_2019_nCOV_VC_clean.pdf,8,https://github.com/BVLC/caffe/wiki/Model-Zoo#fcn,github.com/BVLC/caffe,BVLC/caffe,2021-01-05,2021.0,publications.aston.ac.uk
FSS-2019-nCov:A deep learning architecture for semi-supervised few-shot segmentation of COVID-19 infection,Mohamed Abdel-Basset,https://publications.aston.ac.uk/id/eprint/43897/1/21_10_2020_FSS_2019_nCOV_VC_clean.pdf,8,https://github.com/tensorflow/models/tree/master/research/deeplab,github.com/tensorflow/models,tensorflow/models,2021-01-05,2021.0,publications.aston.ac.uk
FSS-2019-nCov:A deep learning architecture for semi-supervised few-shot segmentation of COVID-19 infection,Mohamed Abdel-Basset,https://publications.aston.ac.uk/id/eprint/43897/1/21_10_2020_FSS_2019_nCOV_VC_clean.pdf,8,https://github.com/abhi4ssj/few-shot-segmentation.,github.com/abhi4ssj/few-shot-segmentation,abhi4ssj/few-shot-segmentation,2021-01-05,2021.0,publications.aston.ac.uk
Evaluating Automatically Generated YARA Rules and Enhancing Their Effectiveness,Nitin Naik,https://publications.aston.ac.uk/id/eprint/42241/1/Comparison_YARA_Rules_Generation_Tools.pdf,7,https://github.com/Neo23x0/yarGen,github.com/Neo23x0/yarGen,Neo23x0/yarGen,2021-01-05,2021.0,publications.aston.ac.uk
Evaluating Automatically Generated YARA Rules and Enhancing Their Effectiveness,Nitin Naik,https://publications.aston.ac.uk/id/eprint/42241/1/Comparison_YARA_Rules_Generation_Tools.pdf,7,https://github.com/Xen0ph0n/YaraGenerator,github.com/Xen0ph0n/YaraGenerator,Xen0ph0n/YaraGenerator,2021-01-05,2021.0,publications.aston.ac.uk
Fuzzy Hashing Aided Enhanced YARA Rules for Malware Triaging,Nitin Naik,https://publications.aston.ac.uk/id/eprint/42242/1/Enhanced_YARA_Rules.pdf,7,https://github.com/Neo23x0/yarGen,github.com/Neo23x0/yarGen,Neo23x0/yarGen,2021-01-05,2021.0,publications.aston.ac.uk
Abstractive Multi-Document Summarization based on Semantic Link Network,Wei Li,https://publications.aston.ac.uk/id/eprint/39247/1/IEEE_TKDE_Li_Zhuge_2019_SLN_REF.pdf,3,https://github.com/weili-ict/EventSchemasBasedOnFrameNet,github.com/weili-ict/EventSchemasBasedOnFrameNet,weili-ict/EventSchemasBasedOnFrameNet,2021-01-01,2021.0,publications.aston.ac.uk
Abstractive Multi-Document Summarization based on Semantic Link Network,Wei Li,https://publications.aston.ac.uk/id/eprint/39247/1/IEEE_TKDE_Li_Zhuge_2019_SLN_REF.pdf,13,https://github.com/Aureliu/BIU-RPI-Event-Extraction-Project,github.com/Aureliu/BIU-RPI-Event-Extraction-Project,Aureliu/BIU-RPI-Event-Extraction-Project,2021-01-01,2021.0,publications.aston.ac.uk
Abstractive Multi-Document Summarization based on Semantic Link Network,Wei Li,https://publications.aston.ac.uk/id/eprint/39247/1/IEEE_TKDE_Li_Zhuge_2019_SLN_REF.pdf,13,https://github.com/bishanyang/EventEntityExtractor,github.com/bishanyang/EventEntityExtractor,bishanyang/EventEntityExtractor,2021-01-01,2021.0,publications.aston.ac.uk
Intra- and inter-hemispheric structural connectome in agenesis of the corpus callosum,Minghui Shi,https://publications.aston.ac.uk/id/eprint/42800/1/1_s2.0_S2213158221001534_main.pdf,3,https://github.com/danizoeller/myPLS,github.com/danizoeller/myPLS,danizoeller/myPLS,2021-01-01,2021.0,publications.aston.ac.uk
Governing Principles of Self-Sovereign Identity Applied to Blockchain Enabled Privacy Preserving Identity Management Systems,Nitin Naik,https://publications.aston.ac.uk/id/eprint/42146/1/Principles_of_SSI_DrNitinNaik.pdf,5,https://github.com/ChristopherA/self-sovereign-identity/blob/,github.com/ChristopherA/self-sovereign-identity,ChristopherA/self-sovereign-identity,2020-12-04,2020.0,publications.aston.ac.uk
uPort Open-Source Identity Management System: An Assessment of Self-Sovereign Identity and User-Centric Data Platform Built on Blockchain,Nitin Naik,https://publications.aston.ac.uk/id/eprint/42147/1/uPort_SSI_DrNitinNaik.pdf,6,https://github.com/ChristopherA/self-sovereign-identity/blob/,github.com/ChristopherA/self-sovereign-identity,ChristopherA/self-sovereign-identity,2020-12-04,2020.0,publications.aston.ac.uk
Self-reported impulsivity does not predict response caution,Craig Hedge,https://publications.aston.ac.uk/id/eprint/42686/1/Self_reported_impulsivity_does_not_predict_response_caution.pdf,6,https://github.com/jasonwgriffin/metapower.,github.com/jasonwgriffin/metapower,jasonwgriffin/metapower,2020-12-01,2020.0,publications.aston.ac.uk
Tools for modelling and simulating the Smart Grid,Ricardo M. Czekster,https://publications.aston.ac.uk/id/eprint/43412/1/2011.07968v3.pdf,2,https://github.com/ames-market/psst.,github.com/ames-market/psst,ames-market/psst,2020-11-16,2020.0,publications.aston.ac.uk
Tools for modelling and simulating the Smart Grid,Ricardo M. Czekster,https://publications.aston.ac.uk/id/eprint/43412/1/2011.07968v3.pdf,3,"https://github.com/caxqueiroz/scadasim,",github.com/caxqueiroz/scadasim,caxqueiroz/scadasim,2020-11-16,2020.0,publications.aston.ac.uk
Tools for modelling and simulating the Smart Grid,Ricardo M. Czekster,https://publications.aston.ac.uk/id/eprint/43412/1/2011.07968v3.pdf,4,https://github.com/cuihantao/andes.,github.com/cuihantao/andes,cuihantao/andes,2020-11-16,2020.0,publications.aston.ac.uk
Tools for modelling and simulating the Smart Grid,Ricardo M. Czekster,https://publications.aston.ac.uk/id/eprint/43412/1/2011.07968v3.pdf,4,https://github.com/IntegrCiTy/zerobnl.,github.com/IntegrCiTy/zerobnl,IntegrCiTy/zerobnl,2020-11-16,2020.0,publications.aston.ac.uk
Tools for modelling and simulating the Smart Grid,Ricardo M. Czekster,https://publications.aston.ac.uk/id/eprint/43412/1/2011.07968v3.pdf,5,https://github.com/taqen/asgrids/tree/appeec19.,github.com/taqen/asgrids,taqen/asgrids,2020-11-16,2020.0,publications.aston.ac.uk
Tools for modelling and simulating the Smart Grid,Ricardo M. Czekster,https://publications.aston.ac.uk/id/eprint/43412/1/2011.07968v3.pdf,5,https://github.com/pnnl/tesp/.,github.com/pnnl/tesp,pnnl/tesp,2020-11-16,2020.0,publications.aston.ac.uk
Tools for modelling and simulating the Smart Grid,Ricardo M. Czekster,https://publications.aston.ac.uk/id/eprint/43412/1/2011.07968v3.pdf,6,https://github.com/finger563/webgme-gridlabd.,github.com/finger563/webgme-gridlabd,finger563/webgme-gridlabd,2020-11-16,2020.0,publications.aston.ac.uk
A Toolkit to Generate Social Navigation Datasets,Rishabh Baghel,https://publications.aston.ac.uk/id/eprint/42115/1/2009.05345.pdf,12,https://github.com/ljmanso/sonata,github.com/ljmanso/sonata,ljmanso/sonata,2020-11-03,2020.0,publications.aston.ac.uk
Graph Neural Networks for Human-aware Social Navigation,Luis J. Manso,https://publications.aston.ac.uk/id/eprint/42116/1/1909.09003.pdf,10,https://github.com/robocomp/sngnn,github.com/robocomp/sngnn,robocomp/sngnn,2020-11-03,2020.0,publications.aston.ac.uk
Multi-camera Torso Pose Estimation using Graph Neural Networks,Daniel Rodriguez-Criado,https://publications.aston.ac.uk/id/eprint/41864/1/2007.14126.pdf,0,https://github.com/vangiel/WheresTheFellow,github.com/vangiel/WheresTheFellow,vangiel/WheresTheFellow,2020-10-14,2020.0,publications.aston.ac.uk
"COVID-19 Optimizer Algorithm, Modeling and Controlling of Coronavirus Distribution Process",Eghbal Hosseini,https://publications.aston.ac.uk/id/eprint/41768/6/JBHI_Optimisation_COVID19_AcceptedVersion.pdf,0,https://github.com/eghbal11/Eghbal/blob/master/CVA.m,github.com/eghbal11/Eghbal,eghbal11/Eghbal,2020-10-01,2020.0,publications.aston.ac.uk
MOEA/D with Random Partial Update Strategy,Yuri Lavinas,https://publications.aston.ac.uk/id/eprint/41923/1/cec_2020_manuscript.pdf,4,https://github.com/yclavinas/MOEADr/tree/cec2020,github.com/yclavinas/MOEADr,yclavinas/MOEADr,2020-09-03,2020.0,publications.aston.ac.uk
Automated Verification of Care Pathways Using Constraint Programming,Renan Pereira De Figueiredo,https://publications.aston.ac.uk/id/eprint/41292/1/09017991.pdf,3,https://github.com/CarePathwayModeler/pathwayMetamodel.git,github.com/CarePathwayModeler/pathwayMetamodel,CarePathwayModeler/pathwayMetamodel,2020-09-01,2020.0,publications.aston.ac.uk
Automated Verification of Care Pathways Using Constraint Programming,Renan Pereira De Figueiredo,https://publications.aston.ac.uk/id/eprint/41292/1/09017991.pdf,4,https://github.com/carepathways/Pathway-Veriﬁcation.git,github.com/carepathways/Pathway-Verification,carepathways/Pathway-Verification,2020-09-01,2020.0,publications.aston.ac.uk
Generic autonomic adapter architecture and policy model for semantic socio-cyber-physical collaborative network,Nazmul Hussain,https://publications.aston.ac.uk/id/eprint/42599/1/HUSSAIN_NAZMUL_129143662_2020.pdf,40,https://github.com/protegeproject/swrlapi/wiki/SWRLLanguageFAQ,github.com/protegeproject/swrlapi,protegeproject/swrlapi,2020-09-01,2020.0,publications.aston.ac.uk
Generic autonomic adapter architecture and policy model for semantic socio-cyber-physical collaborative network,Nazmul Hussain,https://publications.aston.ac.uk/id/eprint/42599/1/HUSSAIN_NAZMUL_129143662_2020.pdf,158,https://github.com/nhussain920/thesis_source_code.,github.com/nhussain920/thesis_source_code,nhussain920/thesis_source_code,2020-09-01,2020.0,publications.aston.ac.uk
Embedding Fuzzy Rules with YARA Rules for Performance Optimisation of Malware Analysis,Nitin Naik,https://publications.aston.ac.uk/id/eprint/42062/1/FUZZ_IEEE_20_Embedded_YARA_Rules.pdf,6,https://github.com/Neo23x0/yarGen,github.com/Neo23x0/yarGen,Neo23x0/yarGen,2020-08-26,2020.0,publications.aston.ac.uk
NUTMEG:Open Source Software for M/EEG Source Reconstruction,Leighton B.N. Hinkley,https://publications.aston.ac.uk/id/eprint/41900/1/fnins_14_00710.pdf,10,https://github.com/miketrumpis/xipy,github.com/miketrumpis/xipy,miketrumpis/xipy,2020-08-25,2020.0,publications.aston.ac.uk
A Self-Aware and Scalable Solution for Efficient Mobile-Cloud Hybrid Robotics,Aamir Akbar,https://publications.aston.ac.uk/id/eprint/41783/1/frobt_07_00102.pdf,9,https://github.com/jvheinerman/NEATThymio,github.com/jvheinerman/NEATThymio,jvheinerman/NEATThymio,2020-08-05,2020.0,publications.aston.ac.uk
A Self-Aware and Scalable Solution for Efficient Mobile-Cloud Hybrid Robotics,Aamir Akbar,https://publications.aston.ac.uk/id/eprint/41783/1/frobt_07_00102.pdf,9,https://github.com/aamirakbar/Creating-Hybrid-Level-Conﬁgurations-for-,github.com/aamirakbar/Creating-Hybrid-Level-Configurations-for-,aamirakbar/Creating-Hybrid-Level-Configurations-for-MC-hybrid-Apps,2020-08-05,2020.0,publications.aston.ac.uk
Grouping sentences as better language unit for extractive text summarization,Mengyun Cao,https://publications.aston.ac.uk/id/eprint/41419/1/FGCS2019_Group_for_Summarization_Online.pdf,19,https://github.com/alvations/pywsd,github.com/alvations/pywsd,alvations/pywsd,2020-08-01,2020.0,publications.aston.ac.uk
Grouping sentences as better language unit for extractive text summarization,Mengyun Cao,https://publications.aston.ac.uk/id/eprint/41419/1/FGCS2019_Group_for_Summarization_Online.pdf,37,https://github.com/Angela7126/Group_For_Summarization,github.com/Angela7126/Group_For_Summarization,Angela7126/Group_For_Summarization,2020-08-01,2020.0,publications.aston.ac.uk
Self-Sovereign Identity Specifications: Govern Your Identity Through Your Digital Wallet using Blockchain Technology,Nitin Naik,https://publications.aston.ac.uk/id/eprint/41998/1/SSI_Specifications_uPort_SovrinDrNitinNaik.pdf,4,https://github.com/ChristopherA/self-sovereign-identity/blob/,github.com/ChristopherA/self-sovereign-identity,ChristopherA/self-sovereign-identity,2020-07-08,2020.0,publications.aston.ac.uk
On the effects of pseudorandom and quantum-random number generators in soft computing,Jordan Bird,https://publications.aston.ac.uk/id/eprint/40854/1/Bird2019_Article_OnTheEffectsOfPseudorandomAndQ.pdf,8,https://github.com/keras-team/keras/tree/master/examples.,github.com/keras-team/keras,keras-team/keras,2020-06-01,2020.0,publications.aston.ac.uk
Requirements-aware models to support better informed decision-making for self-adaptation using partially observable Markov decision processes,Luis Hernan Garcia Paucar,https://publications.aston.ac.uk/id/eprint/41929/1/GARCIA_PAUCAR_LUIS_HERNAN_159211456_2019.pdf,94,https://github.com/AdaCompNUS/despot,github.com/AdaCompNUS/despot,AdaCompNUS/despot,2020-06-01,2020.0,publications.aston.ac.uk
The MOEADr Package – A Component-Based Framework for Multiobjective Evolutionary Algorithms Based on Decomposition,Felipe Campelo,https://publications.aston.ac.uk/id/eprint/38790/1/1807.06731.pdf,1,http://github.com/fcampelo/MOEADr.,github.com/fcampelo/MOEADr,fcampelo/MOEADr,2020-02-23,2020.0,publications.aston.ac.uk
Augmented YARA Rules Fused with Fuzzy Hashing in Ransomware Triaging,Nitin Naik,https://publications.aston.ac.uk/id/eprint/41999/1/SSCI_19_YARA_Rules_Fused_With_Fuzzy_Hashing_DrNaik.pdf,7,https://github.com/Neo23x0/yarGen,github.com/Neo23x0/yarGen,Neo23x0/yarGen,2020-02-20,2020.0,publications.aston.ac.uk
The TTC 2019 Live case:BibTex to docbook,Antonio García-Domínguez,https://publications.aston.ac.uk/id/eprint/42042/1/paper8.pdf,1,https://github.com/DiUS/java-faker,github.com/DiUS/java-faker,DiUS/java-faker,2020-02-10,2020.0,publications.aston.ac.uk
